,basic,c9,name,211,985,top
1461,0,0,2017-01-01,2,0,0
1462,0,0,2017-01-02,0,0,0
1463,0,0,2017-01-03,8,2,0
1464,0,2,2017-01-04,9,4,2
1465,1,1,2017-01-05,7,11,5
1466,0,0,2017-01-06,3,1,0
1467,0,0,2017-01-07,0,2,0
1468,0,0,2017-01-08,0,0,0
1469,0,0,2017-01-09,12,2,4
1470,0,0,2017-01-10,4,1,0
1471,0,0,2017-01-11,5,0,1
1472,0,0,2017-01-12,6,2,5
1473,1,0,2017-01-13,3,0,1
1474,0,0,2017-01-14,1,0,0
1475,0,0,2017-01-15,0,0,0
1476,0,0,2017-01-16,3,0,0
1477,0,0,2017-01-17,5,0,0
1478,0,0,2017-01-18,2,0,2
1479,0,0,2017-01-19,2,0,0
1480,0,0,2017-01-20,1,0,0
1481,0,0,2017-01-21,0,0,0
1482,0,0,2017-01-22,0,0,0
1483,0,0,2017-01-23,1,0,0
1484,0,0,2017-01-24,0,0,0
1485,0,0,2017-01-25,0,0,0
1486,0,0,2017-01-26,0,0,0
1487,0,0,2017-01-27,0,0,0
1488,0,0,2017-01-28,0,0,0
1489,0,0,2017-01-29,0,0,0
1490,0,0,2017-01-30,0,0,0
1491,0,0,2017-01-31,0,0,0
1492,0,0,2017-02-01,0,0,0
1493,0,0,2017-02-02,0,0,0
1494,0,0,2017-02-03,2,0,0
1495,0,0,2017-02-04,1,0,0
1496,0,0,2017-02-05,1,0,0
1497,0,0,2017-02-06,2,0,0
1498,0,0,2017-02-07,6,0,0
1499,0,0,2017-02-08,8,0,0
1500,0,0,2017-02-09,4,0,0
1501,0,0,2017-02-10,9,0,0
1502,0,0,2017-02-11,0,0,0
1503,0,0,2017-02-12,0,0,0
1504,0,0,2017-02-13,9,0,8
1505,0,0,2017-02-14,5,5,17
1506,0,0,2017-02-15,9,0,11
1507,2,0,2017-02-16,14,1,14
1508,0,0,2017-02-17,12,2,17
1509,0,0,2017-02-18,1,0,0
1510,0,12,2017-02-19,1,2,0
1511,1,0,2017-02-20,22,16,13
1512,0,2,2017-02-21,18,12,25
1513,0,50,2017-02-22,26,15,23
1514,0,2,2017-02-23,21,40,22
1515,0,7,2017-02-24,25,20,24
1516,0,2,2017-02-25,3,3,0
1517,0,2,2017-02-26,2,6,2
1518,0,12,2017-02-27,26,28,36
1519,0,10,2017-02-28,41,40,34
1520,0,25,2017-03-01,50,55,34
1521,3,20,2017-03-02,35,66,27
1522,4,27,2017-03-03,25,58,30
1523,1,10,2017-03-04,12,24,1
1524,0,2,2017-03-05,1,12,2
1525,3,28,2017-03-06,53,90,50
1526,3,37,2017-03-07,87,93,81
1527,9,54,2017-03-08,57,117,64
1528,14,27,2017-03-09,75,110,49
1529,9,24,2017-03-10,55,179,61
1530,2,33,2017-03-11,8,32,9
1531,0,3,2017-03-12,7,32,7
1532,5,33,2017-03-13,54,100,60
1533,8,35,2017-03-14,85,106,52
1534,8,31,2017-03-15,69,171,60
1535,13,233,2017-03-16,89,175,53
1536,14,22,2017-03-17,59,111,34
1537,3,9,2017-03-18,7,36,9
1538,0,7,2017-03-19,8,22,5
1539,10,34,2017-03-20,45,92,36
1540,13,39,2017-03-21,69,112,35
1541,12,46,2017-03-22,41,97,32
1542,17,30,2017-03-23,81,110,37
1543,11,28,2017-03-24,47,91,35
1544,1,195,2017-03-25,9,43,2
1545,3,2,2017-03-26,4,309,5
1546,11,32,2017-03-27,36,85,16
1547,9,27,2017-03-28,60,85,28
1548,10,18,2017-03-29,44,72,20
1549,33,27,2017-03-30,44,62,17
1550,11,12,2017-03-31,26,121,18
1551,4,1,2017-04-01,19,14,4
1552,0,0,2017-04-02,1,1,0
1553,1,0,2017-04-03,1,2,0
1554,0,0,2017-04-04,0,0,0
1555,5,7,2017-04-05,25,25,103
1556,16,17,2017-04-06,56,35,22
1557,14,12,2017-04-07,34,52,26
1558,1,2,2017-04-08,3,31,3
1559,0,2,2017-04-09,5,18,2
1560,6,58,2017-04-10,28,51,10
1561,10,12,2017-04-11,60,47,25
1562,10,16,2017-04-12,32,49,30
1563,20,21,2017-04-13,35,53,16
1564,11,12,2017-04-14,20,52,18
1565,1,4,2017-04-15,3,17,4
1566,3,0,2017-04-16,3,8,2
1567,9,12,2017-04-17,28,66,6
1568,11,18,2017-04-18,292,33,8
1569,8,12,2017-04-19,30,35,15
1570,16,14,2017-04-20,54,53,19
1571,8,6,2017-04-21,40,37,9
1572,0,0,2017-04-22,7,20,2
1573,0,1,2017-04-23,5,4,0
1574,6,13,2017-04-24,22,24,15
1575,7,15,2017-04-25,58,38,10
1576,7,8,2017-04-26,71,20,7
1577,15,12,2017-04-27,22,34,5
1578,3,4,2017-04-28,17,22,4
1579,0,0,2017-04-29,0,1,0
1580,0,0,2017-04-30,0,0,0
1581,0,0,2017-05-01,2,5,0
1582,2,2,2017-05-02,11,5,2
1583,5,5,2017-05-03,18,7,6
1584,12,2,2017-05-04,28,17,9
1585,3,4,2017-05-05,15,19,14
1586,1,0,2017-05-06,6,3,0
1587,0,0,2017-05-07,2,229,0
1588,4,3,2017-05-08,10,15,5
1589,4,6,2017-05-09,76,20,9
1590,5,8,2017-05-10,24,26,10
1591,10,8,2017-05-11,19,24,10
1592,4,6,2017-05-12,28,21,4
1593,2,2,2017-05-13,3,63,1
1594,0,1,2017-05-14,2,2,0
1595,2,8,2017-05-15,17,14,5
1596,4,6,2017-05-16,33,13,27
1597,6,5,2017-05-17,26,22,8
1598,10,10,2017-05-18,54,28,2
1599,2,5,2017-05-19,15,17,8
1600,0,0,2017-05-20,0,5,0
1601,0,3,2017-05-21,1,0,0
1602,5,12,2017-05-22,13,13,7
1603,5,14,2017-05-23,26,29,4
1604,3,12,2017-05-24,55,19,4
1605,12,9,2017-05-25,14,23,6
1606,2,4,2017-05-26,14,21,5
1607,0,1,2017-05-27,7,6,3
1608,0,0,2017-05-28,0,2,0
1609,0,0,2017-05-29,0,0,0
1610,0,0,2017-05-30,1,0,0
1611,1,0,2017-05-31,21,7,0
1612,3,2,2017-06-01,56,8,1
1613,0,1,2017-06-02,8,18,3
1614,0,0,2017-06-03,3,2,1
1615,0,1,2017-06-04,2,1,0
1616,1,5,2017-06-05,10,14,5
1617,2,6,2017-06-06,46,11,4
1618,0,2,2017-06-07,18,10,2
1619,4,3,2017-06-08,13,22,0
1620,1,0,2017-06-09,17,18,2
1621,0,0,2017-06-10,2,2,2
1622,0,0,2017-06-11,2,1,0
1623,0,1,2017-06-12,12,5,3
1624,0,0,2017-06-13,11,6,16
1625,1,1,2017-06-14,13,4,0
1626,2,4,2017-06-15,27,4,3
1627,0,4,2017-06-16,8,3,2
1628,0,0,2017-06-17,3,1,0
1629,0,0,2017-06-18,1,0,0
1630,0,0,2017-06-19,7,4,0
1631,0,0,2017-06-20,4,4,1
1632,0,1,2017-06-21,2,2,0
1633,0,0,2017-06-22,8,2,3
1634,0,1,2017-06-23,6,2,2
1635,0,3,2017-06-24,0,1,1
1636,0,0,2017-06-25,1,0,0
1637,0,0,2017-06-26,5,2,0
1638,0,2,2017-06-27,3,0,6
1639,0,3,2017-06-28,2,1,0
1640,0,1,2017-06-29,3,3,0
1641,0,1,2017-06-30,1,4,1
1642,0,0,2017-07-01,3,0,0
1643,0,0,2017-07-02,0,0,0
1644,0,0,2017-07-03,1,0,2
1645,0,1,2017-07-04,4,0,1
1646,0,0,2017-07-05,3,0,0
1647,0,0,2017-07-06,1,0,3
1648,0,0,2017-07-07,3,0,3
1649,0,0,2017-07-08,0,0,0
1650,0,0,2017-07-09,0,0,0
1651,0,0,2017-07-10,1,0,0
1652,0,0,2017-07-11,0,0,0
1653,0,0,2017-07-12,1,0,3
1654,0,0,2017-07-13,1,0,0
1655,0,0,2017-07-14,5,0,0
1656,0,0,2017-07-15,1,0,0
1657,0,0,2017-07-16,0,0,0
1658,0,0,2017-07-17,3,0,0
1659,0,0,2017-07-18,1,0,0
1660,0,0,2017-07-19,2,0,0
1661,0,0,2017-07-20,0,0,0
1662,0,0,2017-07-21,2,0,0
1663,0,0,2017-07-22,0,0,0
1664,0,0,2017-07-23,0,0,0
1665,0,0,2017-07-24,0,0,0
1666,0,0,2017-07-25,0,0,0
1667,0,0,2017-07-26,1,0,0
1668,0,0,2017-07-27,1,0,0
1669,0,0,2017-07-28,0,0,0
1670,0,0,2017-07-29,0,1,0
1671,0,0,2017-07-30,0,0,0
1672,0,0,2017-07-31,0,0,0
1673,0,0,2017-08-01,2,0,0
1674,0,0,2017-08-02,0,0,0
1675,0,0,2017-08-03,1,0,0
1676,0,0,2017-08-04,1,0,0
1677,0,0,2017-08-05,0,0,0
1678,0,0,2017-08-06,1,0,0
1679,0,0,2017-08-07,2,0,0
1680,0,0,2017-08-08,3,0,0
1681,0,0,2017-08-09,0,0,0
1682,0,0,2017-08-10,0,0,0
1683,0,0,2017-08-11,4,0,0
1684,0,0,2017-08-12,0,0,0
1685,0,0,2017-08-13,0,0,0
1686,0,0,2017-08-14,0,0,0
1687,0,0,2017-08-15,2,0,0
1688,0,0,2017-08-16,0,0,0
1689,0,0,2017-08-17,1,1,0
1690,0,0,2017-08-18,2,1,0
1691,0,0,2017-08-19,0,0,0
1692,0,0,2017-08-20,2,0,0
1693,0,0,2017-08-21,1,1,0
1694,0,0,2017-08-22,2,1,0
1695,0,0,2017-08-23,4,1,0
1696,0,0,2017-08-24,3,0,0
1697,0,0,2017-08-25,9,5,0
1698,0,0,2017-08-26,1,0,0
1699,0,0,2017-08-27,0,1,0
1700,0,0,2017-08-28,2,4,0
1701,0,0,2017-08-29,8,2,0
1702,0,0,2017-08-30,10,9,0
1703,0,0,2017-08-31,12,19,0
1704,0,0,2017-09-01,31,32,0
1705,0,0,2017-09-02,2,2,0
1706,0,1,2017-09-03,1,2,0
1707,0,5,2017-09-04,22,48,0
1708,2,14,2017-09-05,21,85,0
1709,1,14,2017-09-06,30,62,3
1710,2,14,2017-09-07,38,109,8
1711,5,24,2017-09-08,43,91,15
1712,4,14,2017-09-09,8,21,0
1713,2,4,2017-09-10,11,19,0
1714,5,38,2017-09-11,53,83,13
1715,5,61,2017-09-12,58,129,16
1716,7,63,2017-09-13,65,117,16
1717,9,72,2017-09-14,73,126,19
1718,8,55,2017-09-15,88,165,12
1719,3,37,2017-09-16,14,38,3
1720,4,28,2017-09-17,14,60,7
1721,8,94,2017-09-18,83,202,31
1722,6,106,2017-09-19,93,243,31
1723,7,127,2017-09-20,84,239,36
1724,10,130,2017-09-21,113,244,39
1725,9,112,2017-09-22,91,236,42
1726,2,48,2017-09-23,20,139,9
1727,1,40,2017-09-24,16,133,33
1728,14,119,2017-09-25,100,252,49
1729,15,117,2017-09-26,115,227,47
1730,15,90,2017-09-27,97,216,47
1731,17,77,2017-09-28,169,171,46
1732,8,40,2017-09-29,118,115,19
1733,1,4,2017-09-30,19,21,0
1734,0,0,2017-10-01,32,3,0
1735,0,0,2017-10-02,15,0,0
1736,0,0,2017-10-03,0,0,0
1737,0,0,2017-10-04,0,0,0
1738,0,0,2017-10-05,0,0,0
1739,0,0,2017-10-06,1,0,0
1740,0,0,2017-10-07,4,0,0
1741,0,1,2017-10-08,7,1,1
1742,5,70,2017-10-09,94,112,32
1743,13,149,2017-10-10,146,244,49
1744,16,158,2017-10-11,163,302,61
1745,30,159,2017-10-12,180,301,67
1746,22,137,2017-10-13,213,254,126
1747,2,79,2017-10-14,48,198,26
1748,2,55,2017-10-15,55,115,52
1749,22,148,2017-10-16,162,327,78
1750,21,140,2017-10-17,180,347,147
1751,24,138,2017-10-18,186,362,115
1752,44,144,2017-10-19,198,334,98
1753,22,120,2017-10-20,127,234,94
1754,3,51,2017-10-21,60,230,45
1755,2,43,2017-10-22,41,90,44
1756,26,127,2017-10-23,127,313,59
1757,24,131,2017-10-24,242,302,140
1758,26,122,2017-10-25,130,315,70
1759,45,124,2017-10-26,154,344,129
1760,19,103,2017-10-27,160,246,77
1761,3,45,2017-10-28,40,130,20
1762,2,31,2017-10-29,24,142,28
1763,16,142,2017-10-30,118,206,47
1764,15,99,2017-10-31,160,351,71
1765,21,94,2017-11-01,123,162,63
1766,24,90,2017-11-02,96,173,60
1767,19,86,2017-11-03,83,389,57
1768,6,28,2017-11-04,54,57,8
1769,7,19,2017-11-05,7,55,4
1770,20,83,2017-11-06,113,163,57
1771,31,90,2017-11-07,126,162,60
1772,29,87,2017-11-08,95,193,50
1773,20,162,2017-11-09,332,200,60
1774,20,83,2017-11-10,106,212,37
1775,5,18,2017-11-11,31,81,5
1776,3,11,2017-11-12,13,472,1
1777,16,68,2017-11-13,99,151,76
1778,18,62,2017-11-14,148,155,36
1779,25,64,2017-11-15,209,186,103
1780,30,128,2017-11-16,104,206,99
1781,15,38,2017-11-17,75,120,30
1782,2,189,2017-11-18,27,44,6
1783,2,9,2017-11-19,11,28,1
1784,17,75,2017-11-20,90,87,27
1785,26,41,2017-11-21,95,112,41
1786,19,31,2017-11-22,134,99,33
1787,26,21,2017-11-23,105,109,26
1788,11,92,2017-11-24,65,93,23
1789,7,184,2017-11-25,30,46,6
1790,0,20,2017-11-26,12,17,2
1791,8,24,2017-11-27,95,76,23
1792,12,27,2017-11-28,113,76,23
1793,9,20,2017-11-29,65,111,38
1794,17,14,2017-11-30,91,74,15
1795,12,13,2017-12-01,39,256,13
1796,10,6,2017-12-02,6,15,2
1797,0,4,2017-12-03,5,323,0
1798,7,11,2017-12-04,50,106,11
1799,11,17,2017-12-05,44,57,21
1800,8,12,2017-12-06,92,44,17
1801,10,13,2017-12-07,66,83,11
1802,7,14,2017-12-08,61,42,11
1803,1,2,2017-12-09,7,13,0
1804,3,0,2017-12-10,1,188,0
1805,8,7,2017-12-11,42,27,9
1806,6,10,2017-12-12,62,32,5
1807,7,5,2017-12-13,31,27,31
1808,8,5,2017-12-14,86,27,17
1809,6,7,2017-12-15,19,28,10
1810,1,3,2017-12-16,5,12,0
1811,0,0,2017-12-17,3,7,1
1812,5,1,2017-12-18,37,32,1
1813,5,3,2017-12-19,58,20,14
1814,10,8,2017-12-20,39,26,4
1815,2,2,2017-12-21,21,30,10
1816,8,2,2017-12-22,11,10,3
1817,0,2,2017-12-23,3,3,0
1818,0,1,2017-12-24,1,0,0
1819,2,2,2017-12-25,7,5,1
1820,5,1,2017-12-26,9,14,1
1821,2,3,2017-12-27,9,41,0
1822,3,2,2017-12-28,7,6,4
1823,1,0,2017-12-29,3,1,1
